# g_x,    g_w,    g_s, amp, dlta, x_c, n_w, ftime(s) date remark
0.250, 0.0085, 0.0150, 2.1, 0.20, 210,  24,  
0.250, 0.0085, 0.0150, 2.1, 0.20, 210,  24,     0.00, 16:02:32(2019 12/24)
0.250, 0.0085, 0.0150, 2.1, 0.20, 210,  24,     0.00, 16:05:47(2019 12/24)
